# Gait Wearable Sensor Telemetry log
# Format: timestamp_ms, acc_x, acc_y, acc_z
0,0.87,14.40,0.07
20,0.69,15.07,0.10
40,0.72,10.90,0.03
60,0.59,11.38,0.11
80,0.39,11.78,0.25
100,0.39,12.07,0.36
120,0.14,12.25,0.31
140,0.12,12.31,0.32
160,-0.12,12.24,0.43
180,-0.26,12.04,0.47
200,-0.50,11.74,0.52
220,-0.78,11.33,0.38
240,-0.68,10.85,0.54
260,-0.70,10.31,0.53
280,-0.82,9.75,0.44
300,-0.92,9.19,0.56
320,-0.77,8.66,0.45
340,-0.67,8.19,0.47
360,-0.41,7.81,0.52
380,-0.31,7.52,0.51
400,-0.21,7.35,0.41
420,-0.05,7.31,0.39
440,0.22,7.40,0.23
460,0.34,7.60,0.21
480,0.57,7.92,0.11
500,0.77,8.34,0.09
520,0.71,8.83,0.12
540,0.91,9.37,-0.04
560,0.68,15.34,0.08
580,0.63,16.80,-0.13
600,0.68,11.01,-0.16
620,0.54,11.48,-0.13
640,0.53,11.85,-0.17
660,0.36,12.12,-0.19
680,0.00,12.28,-0.23
700,-0.04,12.31,-0.31
720,-0.34,12.21,-0.34
740,-0.50,11.99,-0.33
760,-0.49,11.65,-0.38
780,-0.73,11.23,-0.46
800,-0.77,10.73,-0.49
820,-0.92,10.19,-0.52
840,-0.78,9.62,-0.47
860,-0.72,9.07,-0.44
880,-0.73,8.55,-0.53
900,-0.67,8.10,-0.49
920,-0.43,7.73,-0.34
940,-0.37,7.47,-0.42
960,-0.11,7.33,-0.42
980,0.15,7.32,-0.27
1000,0.24,7.43,-0.27
1020,0.51,7.67,-0.29
1040,0.47,8.01,-0.20
1060,0.67,8.44,-0.07
1080,0.64,8.95,-0.10
1100,0.67,9.50,0.02
1120,0.79,16.03,0.02
1140,0.81,16.23,0.13
1160,0.63,11.12,0.05
1180,0.70,11.57,0.11
1200,0.33,11.92,0.26
1220,0.23,12.17,0.21
1240,-0.04,12.29,0.32
1260,-0.04,12.29,0.42
1280,-0.14,12.17,0.47
1300,-0.47,11.92,0.50
1320,-0.43,11.57,0.54
1340,-0.54,11.12,0.56
1360,-0.74,10.61,0.54
1380,-0.92,10.06,0.55
1400,-0.68,9.50,0.42
1420,-0.84,8.95,0.41
1440,-0.57,8.44,0.43
1460,-0.55,8.01,0.53
1480,-0.51,7.67,0.41
1500,-0.15,7.43,0.42
1520,-0.03,7.32,0.33
1540,0.21,7.33,0.33
1560,0.23,7.47,0.25
1580,0.40,7.73,0.14
1600,0.72,8.10,0.17
1620,0.61,8.55,0.11
1640,0.65,9.07,0.08
1660,0.75,9.62,-0.02
1680,0.73,16.49,0.04
1700,0.84,15.48,-0.16
1720,0.80,11.23,-0.18
1740,0.43,11.65,-0.13
1760,0.41,11.99,-0.31
1780,0.35,12.21,-0.31
1800,0.15,12.31,-0.31
1820,-0.13,12.28,-0.33
1840,-0.44,12.12,-0.39
1860,-0.59,11.85,-0.51
1880,-0.54,11.48,-0.48
1900,-0.62,11.01,-0.48
1920,-0.68,10.49,-0.58
1940,-0.69,9.94,-0.48
1960,-0.68,9.37,-0.46
1980,-0.81,8.83,-0.55
2000,-0.79,8.34,-0.45
2020,-0.58,7.92,-0.55
2040,-0.37,7.60,-0.40
2060,-0.13,7.40,-0.30
2080,-0.11,7.31,-0.37
2100,0.05,7.35,-0.26
2120,0.40,7.52,-0.37
2140,0.36,7.81,-0.21
2160,0.62,8.19,-0.08
2180,0.66,8.66,-0.12
2200,0.68,9.19,-0.03
2220,0.78,9.75,-0.07
2240,0.66,16.39,0.14
2260,0.79,10.85,0.13
2280,0.59,11.33,0.09
2300,0.54,11.74,0.28
2320,0.29,12.04,0.17
2340,0.32,12.24,0.26
2360,-0.08,12.31,0.42
2380,-0.06,12.25,0.39
2400,-0.31,12.07,0.42
2420,-0.36,11.78,0.51
2440,-0.63,11.38,0.50
2460,-0.57,10.90,0.56
2480,-0.76,10.37,0.50
2500,-0.78,9.81,0.40
2520,-0.92,9.25,0.55
2540,-0.66,8.72,0.50
2560,-0.48,8.24,0.55
2580,-0.58,7.84,0.40
2600,-0.39,7.55,0.41
2620,-0.27,7.37,0.32
2640,-0.14,7.31,0.27
2660,0.25,7.38,0.32
2680,0.25,7.58,0.25
2700,0.60,7.88,0.15
2720,0.61,8.29,0.19
2740,0.77,8.77,0.04
2760,0.81,9.31,0.07
2780,0.83,14.93,-0.09
2800,0.78,15.45,-0.14
2820,0.84,10.96,-0.16
2840,0.66,11.43,-0.20
2860,0.57,11.81,-0.16
2880,0.36,12.10,-0.23
2900,0.15,12.27,-0.25
2920,-0.16,12.31,-0.27
2940,-0.23,12.22,-0.43
